epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1543,1.24517,1.58376,1.13974,0.70905,0.57578,0.61657,0.44781,1.12461,1.00389,1.07195,0.000275791,0.000275791,0.000275791
2,120.311,1.15499,0.9329,1.06326,0.65757,0.50038,0.60363,0.42259,1.1469,1.12362,1.08293,0.000544325,0.000544325,0.000544325
3,179.55,1.13893,0.8804,1.06283,0.65712,0.67842,0.68736,0.4889,1.12312,0.90515,1.07397,0.000803697,0.000803697,0.000803697
4,241.084,1.11406,0.83602,1.05009,0.72018,0.74995,0.77494,0.5447,1.0926,0.87169,1.05704,0.000791767,0.000791767,0.000791767
5,302.02,1.09002,0.79488,1.03608,0.69626,0.72629,0.7715,0.56567,1.06202,0.73857,1.04211,0.000778022,0.000778022,0.000778022
6,361.665,1.08601,0.77204,1.03252,0.81685,0.79046,0.84962,0.6286,1.05813,0.72147,1.0306,0.000764278,0.000764278,0.000764278
7,421.948,1.06696,0.7527,1.0262,0.77264,0.69106,0.76876,0.54892,1.11064,0.81865,1.06959,0.000750533,0.000750533,0.000750533
8,480.715,1.0584,0.74448,1.02043,0.787,0.71557,0.81289,0.58953,1.04577,0.71187,1.02829,0.000736788,0.000736788,0.000736788
9,540.819,1.04415,0.72856,1.01624,0.72831,0.83478,0.81725,0.59632,1.02906,0.70024,1.02787,0.000723044,0.000723044,0.000723044
10,600.198,1.03409,0.70773,1.01375,0.78073,0.8184,0.83668,0.62488,1.03331,0.70628,1.02497,0.000709299,0.000709299,0.000709299
11,664.484,1.02448,0.6971,1.00675,0.80085,0.81354,0.83587,0.61765,1.04332,0.68368,1.02583,0.000695555,0.000695555,0.000695555
12,725.452,1.01545,0.69238,1.00741,0.76833,0.83851,0.86447,0.65265,1.01133,0.66472,1.01246,0.00068181,0.00068181,0.00068181
13,786.899,1.01254,0.67775,1.00039,0.81134,0.82655,0.87467,0.66943,1.00306,0.65509,1.01204,0.000668066,0.000668066,0.000668066
14,846.045,0.99521,0.66859,0.99808,0.84019,0.81434,0.86498,0.65178,1.01501,0.67246,1.0129,0.000654321,0.000654321,0.000654321
15,903.947,0.98553,0.6581,0.99416,0.77108,0.78835,0.81772,0.62331,1.01008,0.65258,1.01285,0.000640577,0.000640577,0.000640577
16,960.257,0.99076,0.65395,0.99052,0.81974,0.80317,0.85154,0.6387,0.9974,0.65664,1.00847,0.000626832,0.000626832,0.000626832
17,1016.14,0.97959,0.6527,0.98971,0.79732,0.8128,0.85644,0.62594,1.0185,0.64921,1.0189,0.000613088,0.000613088,0.000613088
18,1072.31,0.9786,0.6445,0.98578,0.80326,0.86015,0.88263,0.66627,1.00261,0.64011,1.00422,0.000599343,0.000599343,0.000599343
19,1128.28,0.9757,0.64699,0.98382,0.79414,0.84044,0.87755,0.66933,1.00971,0.63946,1.0104,0.000585599,0.000585599,0.000585599
20,1184.52,0.96637,0.62942,0.98258,0.77733,0.83722,0.88115,0.67956,0.99613,0.62377,1.00835,0.000571854,0.000571854,0.000571854
21,1241.15,0.96223,0.62373,0.97916,0.84778,0.78188,0.87901,0.68062,0.97528,0.62365,0.99633,0.00055811,0.00055811,0.00055811
22,1297.5,0.95626,0.62096,0.98099,0.83091,0.82765,0.88028,0.67694,0.97925,0.62199,1.00198,0.000544365,0.000544365,0.000544365
23,1356.12,0.94651,0.61767,0.97753,0.82479,0.83311,0.87744,0.68084,0.97451,0.62099,0.99933,0.000530621,0.000530621,0.000530621
24,1412.73,0.94146,0.61229,0.97244,0.82698,0.82443,0.88641,0.68556,0.96711,0.61278,0.99215,0.000516877,0.000516877,0.000516877
25,1469.64,0.93399,0.60389,0.97204,0.7747,0.84076,0.87181,0.67082,0.98406,0.6186,1.00263,0.000503132,0.000503132,0.000503132
26,1526.14,0.9288,0.5983,0.96698,0.83098,0.8508,0.89076,0.69163,0.97185,0.61369,0.99733,0.000489387,0.000489387,0.000489387
27,1582.89,0.92415,0.59639,0.9668,0.84139,0.82067,0.88909,0.70012,0.96446,0.60126,0.9933,0.000475643,0.000475643,0.000475643
28,1639.95,0.92947,0.59587,0.96875,0.85456,0.84638,0.88855,0.69643,0.96753,0.59894,0.99406,0.000461898,0.000461898,0.000461898
